n:100 mse_avg:1.60 mse_y:2.29 mse_u:0.23 mse_v:0.17 psnr_avg:46.10 psnr_y:44.53 psnr_u:54.47 psnr_v:55.79 
n:101 mse_avg:1.49 mse_y:2.13 mse_u:0.26 mse_v:0.17 psnr_avg:46.39 psnr_y:44.84 psnr_u:54.05 psnr_v:55.79 
n:102 mse_avg:1.24 mse_y:1.76 mse_u:0.24 mse_v:0.17 psnr_avg:47.18 psnr_y:45.66 psnr_u:54.39 psnr_v:55.94 
n:103 mse_avg:1.03 mse_y:1.45 mse_u:0.22 mse_v:0.16 psnr_avg:48.02 psnr_y:46.53 psnr_u:54.75 psnr_v:56.09 
n:104 mse_avg:0.78 mse_y:1.08 mse_u:0.19 mse_v:0.16 psnr_avg:49.23 psnr_y:47.81 psnr_u:55.24 psnr_v:56.19 
n:105 mse_avg:0.50 mse_y:0.67 mse_u:0.18 mse_v:0.15 psnr_avg:51.12 psnr_y:49.86 psnr_u:55.57 psnr_v:56.37 
n:106 mse_avg:0.42 mse_y:0.55 mse_u:0.18 mse_v:0.15 psnr_avg:51.85 psnr_y:50.69 psnr_u:55.62 psnr_v:56.40 
n:107 mse_avg:0.50 mse_y:0.66 mse_u:0.20 mse_v:0.16 psnr_avg:51.12 psnr_y:49.90 psnr_u:55.09 psnr_v:56.21 
n:108 mse_avg:0.59 mse_y:0.79 mse_u:0.22 mse_v:0.16 psnr_avg:50.44 psnr_y:49.17 psnr_u:54.70 psnr_v:56.18 
n:109 mse_avg:0.65 mse_y:0.88 mse_u:0.24 mse_v:0.16 psnr_avg:49.99 psnr_y:48.70 psnr_u:54.28 psnr_v:56.08 
n:110 mse_avg:0.66 mse_y:0.88 mse_u:0.24 mse_v:0.17 psnr_avg:49.95 psnr_y:48.67 psnr_u:54.32 psnr_v:55.93 
n:111 mse_avg:0.50 mse_y:0.66 mse_u:0.20 mse_v:0.16 psnr_avg:51.14 psnr_y:49.94 psnr_u:55.04 psnr_v:56.21 
n:112 mse_avg:0.36 mse_y:0.46 mse_u:0.17 mse_v:0.15 psnr_avg:52.60 psnr_y:51.55 psnr_u:55.72 psnr_v:56.38 
n:113 mse_avg:0.35 mse_y:0.44 mse_u:0.18 mse_v:0.15 psnr_avg:52.69 psnr_y:51.67 psnr_u:55.63 psnr_v:56.30 
n:114 mse_avg:0.44 mse_y:0.58 mse_u:0.19 mse_v:0.15 psnr_avg:51.69 psnr_y:50.52 psnr_u:55.41 psnr_v:56.32 
n:115 mse_avg:0.67 mse_y:0.91 mse_u:0.21 mse_v:0.16 psnr_avg:49.90 psnr_y:48.56 psnr_u:54.88 psnr_v:56.13 
n:116 mse_avg:1.00 mse_y:1.40 mse_u:0.23 mse_v:0.17 psnr_avg:48.13 psnr_y:46.66 psnr_u:54.55 psnr_v:55.84 
n:117 mse_avg:1.26 mse_y:1.79 mse_u:0.24 mse_v:0.17 psnr_avg:47.13 psnr_y:45.61 psnr_u:54.33 psnr_v:55.76 
n:118 mse_avg:1.28 mse_y:1.82 mse_u:0.21 mse_v:0.17 psnr_avg:47.06 psnr_y:45.52 psnr_u:54.83 psnr_v:55.84 
n:119 mse_avg:1.28 mse_y:1.83 mse_u:0.21 mse_v:0.17 psnr_avg:47.04 psnr_y:45.50 psnr_u:54.86 psnr_v:55.91 
n:120 mse_avg:1.15 mse_y:1.64 mse_u:0.19 mse_v:0.16 psnr_avg:47.51 psnr_y:45.98 psnr_u:55.28 psnr_v:56.08 
n:121 mse_avg:1.12 mse_y:1.59 mse_u:0.20 mse_v:0.17 psnr_avg:47.64 psnr_y:46.12 psnr_u:55.05 psnr_v:55.95 
